typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20090101","2009","52","2009","8","ALB","Albania","M","Import","0","W00","World","0","W00","World","H3","HS","true","1201","Soya beans; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","50","false","-1","N/A",,"false","50","false",,"false","11",,"11","0","true","false",
"C","A","20090101","2009","52","2009","12","DZA","Algeria","M","Import","0","W00","World","0","W00","World","H3","HS","true","1201","Soya beans; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","134830","false","-1","N/A",,"false","134830","false",,"false","135158",,"135158","0","true","false",
"C","A","20090101","2009","52","2009","20","AND","Andorra","M","Import","0","W00","World","0","W00","World","H3","HS","true","1201","Soya beans; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","66","false","8","kg","66","false","66","false","0","false","327.172",,"327.172","0","false","true",
"C","A","20090101","2009","52","2009","24","AGO","Angola","M","Import","0","W00","World","0","W00","World","H3","HS","true","1201","Soya beans; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","73845","false","-1","N/A",,"false","73845","false",,"false","104963",,"104963","0","true","false",
"C","A","20090101","2009","52","2009","28","ATG","Antigua and Barbuda","M","Import","0","W00","World","0","W00","World","H1","HS","true","1201","Soya beans; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","493","false","-1","N/A",,"false","493","false",,"false","224",,"224","0","false","false",
"C","A","20090101","2009","52","2009","31","AZE","Azerbaijan","M","Import","0","W00","World","0","W00","World","H3","HS","true","1201","Soya beans; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","9825860","false","-1","N/A",,"false","9825860","false",,"false","2920033",,"2920033","0","true","false",
"C","A","20090101","2009","52","2009","32","ARG","Argentina","M","Import","0","W00","World","0","W00","World","H3","HS","true","1201","Soya beans; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","823923839","true","-1","N/A",,"false","823923839","true",,"false","306750029",,"306750029","6","true","false",
"C","A","20090101","2009","52","2009","32","ARG","Argentina","X","Export","0","W00","World","0","W00","World","H3","HS","true","1201","Soya beans; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","4292320748","true","-1","N/A",,"false","4292320748","true",,"false",,"1675490452","1675490452","6","true","false",
"C","A","20090101","2009","52","2009","36","AUS","Australia","M","Import","0","W00","World","0","W00","World","H3","HS","true","1201","Soya beans; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1541185","false","-1","N/A",,"false","1541185","false",,"false",,"1505573","1505573","0","true","false",
"C","A","20090101","2009","52","2009","36","AUS","Australia","X","Export","0","W00","World","0","W00","World","H3","HS","true","1201","Soya beans; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","7159507","false","-1","N/A",,"false","7159507","false",,"false",,"4350841","4350841","0","true","false",
"C","A","20090101","2009","52","2009","40","AUT","Austria","M","Import","0","W00","World","0","W00","World","H3","HS","true","1201","Soya beans; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","100210227","true","-1","N/A",,"false","100210227","true",,"false","46221864",,"46221864","6","true","false",
"C","A","20090101","2009","52","2009","40","AUT","Austria","X","Export","0","W00","World","0","W00","World","H3","HS","true","1201","Soya beans; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","44547900","false","-1","N/A",,"false","44547900","false",,"false",,"31265955","31265955","0","true","false",
"C","A","20090101","2009","52","2009","44","BHS","Bahamas","M","Import","0","W00","World","0","W00","World","H3","HS","true","1201","Soya beans; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","183","false","-1","N/A",,"false","183","false",,"false","1142",,"1142","0","true","false",
"C","A","20090101","2009","52","2009","48","BHR","Bahrain","M","Import","0","W00","World","0","W00","World","H3","HS","true","1201","Soya beans; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","7378618","false","-1","N/A",,"false","7378618","false",,"false","2561935",,"2561935","0","true","false",
"C","A","20090101","2009","52","2009","50","BGD","Bangladesh","M","Import","0","W00","World","0","W00","World","H3","HS","true","1201","Soya beans; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","187326092","false","-1","N/A",,"false","187326092","false",,"false","80078868",,"80078868","0","true","false",
"C","A","20090101","2009","52","2009","51","ARM","Armenia","M","Import","0","W00","World","0","W00","World","H3","HS","true","1201","Soya beans; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","128090","false","-1","N/A",,"false","128090","false",,"false","180066",,"180066","0","true","false",
"C","A","20090101","2009","52","2009","52","BRB","Barbados","M","Import","0","W00","World","0","W00","World","H2","HS","true","1201","Soya beans; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","22265706","false","-1","N/A",,"false","22265706","false",,"false","10879872",,"10879872","0","true","false",
"C","A","20090101","2009","52","2009","56","BEL","Belgium","M","Import","0","W00","World","0","W00","World","H3","HS","true","1201","Soya beans; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","651412798","false","-1","N/A",,"false","651412798","false",,"false","295878778",,"295878778","0","true","false",
"C","A","20090101","2009","52","2009","56","BEL","Belgium","X","Export","0","W00","World","0","W00","World","H3","HS","true","1201","Soya beans; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","140036505","false","-1","N/A",,"false","140036505","false",,"false",,"68112145","68112145","0","true","false",
"C","A","20090101","2009","52","2009","60","BMU","Bermuda","M","Import","0","W00","World","0","W00","World","H2","HS","true","1201","Soya beans; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false","894","false",,"false","6817",,"6817","0","true","false",
"C","A","20090101","2009","52","2009","64","BTN","Bhutan","M","Import","0","W00","World","0","W00","World","H3","HS","true","1201","Soya beans; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","21821","false","-1","N/A",,"false","21821","false",,"false","15191",,"15191","0","true","false",
