typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","M","20240101","2024","1","202401","20","AND","Andorra","M","Import","0","W00","World","0","W00","World","H6","HS","true","1201","Soya beans, whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3","false","8","kg","3","false","3","false","0","false","11.679",,"11.679","0","false","true",
"C","M","20240101","2024","1","202401","24","AGO","Angola","M","Import","0","W00","World","0","W00","World","H5","HS","true","1201","Soya beans, whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","120692.7","false","8","kg","120692.7","false","120692.7","false","0","false","276170.24","247228.212","276170.24","0","false","true",
"C","M","20240101","2024","1","202401","28","ATG","Antigua and Barbuda","M","Import","0","W00","World","0","W00","World","H3","HS","true","1201","Soya beans; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","8.87","false","5","u","1","false","8.87","false","0","false","57.69",,"57.69","0","false","true",
"C","M","20240101","2024","1","202401","32","ARG","Argentina","M","Import","0","W00","World","0","W00","World","H6","HS","true","1201","Soya beans, whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","129833461.5","false","8","kg","129833461.5","false","129833461.5","false","0","false","63982948.56","60219266.96","63982948.56","0","false","true",
"C","M","20240101","2024","1","202401","32","ARG","Argentina","X","Export","0","W00","World","0","W00","World","H6","HS","true","1201","Soya beans, whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","8088360","false","8","kg","8088360","false","8088360","false","0","false",,"4083965.3","4083965.3","0","false","true",
"C","M","20240101","2024","1","202401","36","AUS","Australia","M","Import","0","W00","World","0","W00","World","H6","HS","true","1201","Soya beans, whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","28847.96","false","8","kg","28847.96","false","28847.96","false","0","false","52768.024","51130.412","52768.024","0","false","true",
"C","M","20240101","2024","1","202401","36","AUS","Australia","X","Export","0","W00","World","0","W00","World","H6","HS","true","1201","Soya beans, whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false","408.512","false",,"369807.865","369807.865","0","false","true",
"C","M","20240101","2024","1","202401","48","BHR","Bahrain","M","Import","0","W00","World","0","W00","World","H6","HS","true","1201","Soya beans, whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false","0","false","10213.351",,"10213.351","0","false","true",
"C","M","20240101","2024","1","202401","51","ARM","Armenia","M","Import","0","W00","World","0","W00","World","H6","HS","true","1201","Soya beans, whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","42","false","8","kg","42","false","42","false","0","false","232.39",,"232.39","0","false","true",
"C","M","20240101","2024","1","202401","52","BRB","Barbados","M","Import","0","W00","World","0","W00","World","H6","HS","true","1201","Soya beans, whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3999983","false","8","kg","3999983","false","3999983","false","0","false","2230333.5",,"2230333.5","0","false","true",
"C","M","20240101","2024","1","202401","56","BEL","Belgium","M","Import","0","W00","World","0","W00","World","H6","HS","true","1201","Soya beans, whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","24290393.76","false","8","kg","24290393.76","false","24290393.76","false","0","false","14497607.458",,"14497607.458","0","false","true",
"C","M","20240101","2024","1","202401","56","BEL","Belgium","X","Export","0","W00","World","0","W00","World","H6","HS","true","1201","Soya beans, whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","6420051.37","false","8","kg","6420051.37","false","6420051.37","false","0","false",,"4777823.66","4777823.66","0","false","true",
"C","M","20240101","2024","1","202401","68","BOL","Bolivia (Plurinational State of)","X","Export","0","W00","World","0","W00","World","H6","HS","true","1201","Soya beans, whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2096000","false","8","kg","2096000","false","2096000","false","2096280","false",,"901447","901447","0","false","true",
"C","M","20240101","2024","1","202401","70","BIH","Bosnia Herzegovina","M","Import","0","W00","World","0","W00","World","H6","HS","true","1201","Soya beans, whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","942096","false","8","kg","942096","false","942096","false","0","false","459660.438",,"459660.438","0","false","true",
"C","M","20240101","2024","1","202401","70","BIH","Bosnia Herzegovina","X","Export","0","W00","World","0","W00","World","H6","HS","true","1201","Soya beans, whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","324820","false","8","kg","324820","false","324820","false","0","false",,"181336.988","181336.988","0","false","true",
"C","M","20240101","2024","1","202401","76","BRA","Brazil","M","Import","0","W00","World","0","W00","World","H6","HS","true","1201","Soya beans, whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","122542016","false","-1","N/A","0","false","122542916","false","0","false","55108311","53463104","55108311","0","false","true",
"C","M","20240101","2024","1","202401","76","BRA","Brazil","X","Export","0","W00","World","0","W00","World","H6","HS","true","1201","Soya beans, whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2854865786","false","-1","N/A","0","false","2854886531","false","0","false",,"1454942703","1454942703","0","false","true",
"C","M","20240101","2024","1","202401","84","BLZ","Belize","M","Import","0","W00","World","0","W00","World","H6","HS","true","1201","Soya beans, whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","229.413","false","8","kg","229.413","false","229.413","false","0","false","421.365",,"421.365","0","false","true",
"C","M","20240101","2024","1","202401","100","BGR","Bulgaria","M","Import","0","W00","World","0","W00","World","H6","HS","true","1201","Soya beans, whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","6925","false","8","kg","6925","false","6925","false","0","false","10152.774",,"10152.774","0","false","true",
"C","M","20240101","2024","1","202401","100","BGR","Bulgaria","X","Export","0","W00","World","0","W00","World","H6","HS","true","1201","Soya beans, whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","505","false","8","kg","505","false","505","false","0","false",,"1126.847","1126.847","0","false","true",
"C","M","20240101","2024","1","202401","104","MMR","Myanmar","M","Import","0","W00","World","0","W00","World","H6","HS","true","1201","Soya beans, whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","208800","false","8","kg","208800","false","208800","false","0","false","214502.85",,"214502.85","0","false","true",
"C","M","20240101","2024","1","202401","20","AND","Andorra","M","Import","0","W00","World","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","157396756.658",,"157396756.658","4","false","true",
"C","M","20240101","2024","1","202401","20","AND","Andorra","X","Export","0","W00","World","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"16700166.341","16700166.341","4","false","true",
"C","M","20240101","2024","1","202401","24","AGO","Angola","M","Import","0","W00","World","0","W00","World","H5","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false","0","false","1112932122.505","1039826464.769","1112932122.505","0","false","true",
"C","M","20240101","2024","1","202401","24","AGO","Angola","X","Export","0","W00","World","0","W00","World","H5","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false","0","false",,"2818985603.906","2818985603.906","0","false","true",
"C","M","20240101","2024","1","202401","28","ATG","Antigua and Barbuda","M","Import","0","W00","World","0","W00","World","H3","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","150218122.51",,"150218122.51","4","false","true",
"C","M","20240101","2024","1","202401","28","ATG","Antigua and Barbuda","X","Export","0","W00","World","0","W00","World","H3","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"12136604.04","12136604.04","4","false","true",
"C","M","20240101","2024","1","202401","31","AZE","Azerbaijan","M","Import","0","W00","World","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false","0","false","1142115631.54",,"1142115631.54","0","false","true",
"C","M","20240101","2024","1","202401","31","AZE","Azerbaijan","X","Export","0","W00","World","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"1843976834.75","1843976834.75","0","false","true",
"C","M","20240101","2024","1","202401","32","ARG","Argentina","M","Import","0","W00","World","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","4603954647.22","4374112568.92","4603954647.22","4","false","true",
"C","M","20240101","2024","1","202401","32","ARG","Argentina","X","Export","0","W00","World","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"5412323949.84","5412323949.84","0","false","true",
"C","M","20240101","2024","1","202401","36","AUS","Australia","M","Import","0","W00","World","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false","0","false","23876193370.134","22907562503.058","23876193370.134","0","false","true",
"C","M","20240101","2024","1","202401","36","AUS","Australia","X","Export","0","W00","World","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false","0","false",,"29146795210.578","29146795210.578","0","false","true",
"C","M","20240101","2024","1","202401","48","BHR","Bahrain","M","Import","0","W00","World","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","1421855433.763",,"1421855433.763","4","false","true",
"C","M","20240101","2024","1","202401","48","BHR","Bahrain","X","Export","0","W00","World","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"1109316276.707","1109316276.707","4","false","true",
"C","M","20240101","2024","1","202401","51","ARM","Armenia","M","Import","0","W00","World","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","1325819784.9",,"1325819784.9","4","false","true",
"C","M","20240101","2024","1","202401","51","ARM","Armenia","X","Export","0","W00","World","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"949414328.31","949414328.31","4","false","true",
"C","M","20240101","2024","1","202401","52","BRB","Barbados","M","Import","0","W00","World","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","170698939.5",,"170698939.5","4","false","true",
"C","M","20240101","2024","1","202401","52","BRB","Barbados","X","Export","0","W00","World","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"43132525.5","43132525.5","4","false","true",
"C","M","20240101","2024","1","202401","56","BEL","Belgium","M","Import","0","W00","World","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","31385873794.439",,"31385873794.439","4","false","true",
"C","M","20240101","2024","1","202401","56","BEL","Belgium","X","Export","0","W00","World","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"32171802133.299","32171802133.299","4","false","true",
"C","M","20240101","2024","1","202401","68","BOL","Bolivia (Plurinational State of)","M","Import","0","W00","World","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false","0","false","836411908","781232287","836411908","0","false","true",
"C","M","20240101","2024","1","202401","68","BOL","Bolivia (Plurinational State of)","X","Export","0","W00","World","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false","0","false",,"619827587.14","619827587.14","0","false","true",
"C","M","20240101","2024","1","202401","70","BIH","Bosnia Herzegovina","M","Import","0","W00","World","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","1064346166.123",,"1064346166.123","4","false","true",
"C","M","20240101","2024","1","202401","70","BIH","Bosnia Herzegovina","X","Export","0","W00","World","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"653233135.394","653233135.394","4","false","true",
"C","M","20240101","2024","1","202401","76","BRA","Brazil","M","Import","0","W00","World","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false","0","false","21548558552","20507038655","21548558552","0","false","true",
"C","M","20240101","2024","1","202401","76","BRA","Brazil","X","Export","0","W00","World","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"26702395465","26702395465","4","false","true",
"C","M","20240101","2024","1","202401","84","BLZ","Belize","M","Import","0","W00","World","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","136124547.029",,"136124547.029","4","false","true",
"C","M","20240101","2024","1","202401","84","BLZ","Belize","X","Export","0","W00","World","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"17661824.453","17661824.453","4","false","true",
"C","M","20240101","2024","1","202401","100","BGR","Bulgaria","M","Import","0","W00","World","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false","0","false","4130738552.686",,"4130738552.686","0","false","true",
"C","M","20240101","2024","1","202401","100","BGR","Bulgaria","X","Export","0","W00","World","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false","0","false",,"3551565103.046","3551565103.046","0","false","true",
"C","M","20240101","2024","1","202401","104","MMR","Myanmar","M","Import","0","W00","World","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false","0","false","1179420432.475",,"1179420432.475","0","false","true",
"C","M","20240101","2024","1","202401","104","MMR","Myanmar","X","Export","0","W00","World","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false","0","false",,"1322991723.591","1322991723.591","0","false","true",
