year,exporter,importer,product,value_kusd,quantity_tonnes
2005,Dem. Rep. Congo,100,810510,4.375,0.1
2005,Dem. Rep. Congo,China,810510,5213.872,903.195
2005,Dem. Rep. Congo,Finland,810510,36572.416,13400.178
2005,Dem. Rep. Congo,Japan,810510,2463.277,79.763
2005,Dem. Rep. Congo,Netherlands,810510,571.858,29.921
2005,Dem. Rep. Congo,699,810510,102.525,6.994
2005,Dem. Rep. Congo,USA,810510,694.331,14.082
2006,Dem. Rep. Congo,Brazil,810510,678.534,22.768
2006,Dem. Rep. Congo,China,282200,4365.843,907.06
2006,Dem. Rep. Congo,China,810510,26291.515,533.215
2006,Dem. Rep. Congo,203,810510,60.094,1.6
2006,Dem. Rep. Congo,Finland,810510,81504.853,1652.991
2006,Dem. Rep. Congo,Japan,810510,157.947,6.75
2006,Dem. Rep. Congo,South Korea,810510,157.26,4.0
2006,Dem. Rep. Congo,Netherlands,810510,195.983,5.0
2006,Dem. Rep. Congo,826,810510,215.948,10.004
2006,Dem. Rep. Congo,USA,810510,751.23,30.979
2007,Dem. Rep. Congo,Canada,810510,360.414,6.0
2007,Dem. Rep. Congo,China,810510,63269.232,6601.492
2007,Dem. Rep. Congo,Finland,810510,139223.684,4122.866
2007,Dem. Rep. Congo,Germany,810510,169.0,5.0
2007,Dem. Rep. Congo,South Korea,810510,1314.807,21.0
2007,Dem. Rep. Congo,Netherlands,810510,1538.598,32.674
2007,Dem. Rep. Congo,USA,810510,1379.929,40.0
2007,Dem. Rep. Congo,894,810510,8.758,0.0
2008,Dem. Rep. Congo,Brazil,810510,3771.664,57.348
2008,Dem. Rep. Congo,China,810510,280595.896,16237.966
2008,Dem. Rep. Congo,Finland,810510,262504.683,30867.859
2008,Dem. Rep. Congo,Netherlands,810510,318.273,3.45
2008,Dem. Rep. Congo,579,810510,8373.584,741.652
2008,Dem. Rep. Congo,616,810510,22.621,0.504
2009,Dem. Rep. Congo,Brazil,282200,3309.739,385.317
2009,Dem. Rep. Congo,China,810510,185672.991,27400.844
2009,Dem. Rep. Congo,Finland,810510,92288.233,22196.271
2009,Dem. Rep. Congo,Netherlands,810510,18.133,0.0
2009,Dem. Rep. Congo,579,810510,9906.068,1208.73
2009,Dem. Rep. Congo,826,810510,352.248,20.0
2009,Dem. Rep. Congo,894,282200,14974.77,528.664
2010,Dem. Rep. Congo,Brazil,282200,7974.326,1351.834
2010,Dem. Rep. Congo,Brazil,810510,1589.871,49.531
2010,Dem. Rep. Congo,China,810510,431784.014,60609.949
2010,Dem. Rep. Congo,Finland,810510,129365.605,24734.954
2010,Dem. Rep. Congo,Germany,810510,791.056,19.847
2010,Dem. Rep. Congo,Japan,810510,204.077,5.23
2010,Dem. Rep. Congo,South Korea,282200,0.534,0.193
2010,Dem. Rep. Congo,Netherlands,810510,39.773,1.491
2010,Dem. Rep. Congo,699,810510,15.432,4.0
2010,Dem. Rep. Congo,South Africa,282200,0.01,0.004
2010,Dem. Rep. Congo,826,810510,8281.999,1174.304
2010,Dem. Rep. Congo,USA,810510,2285.27,139.527
2010,Dem. Rep. Congo,894,282200,176282.291,0.0
2011,Dem. Rep. Congo,Brazil,282200,12600.426,3446.056
2011,Dem. Rep. Congo,Brazil,810510,4526.764,149.354
2011,Dem. Rep. Congo,China,810510,390895.257,54880.688
2011,Dem. Rep. Congo,Finland,810510,88458.225,22970.604
2011,Dem. Rep. Congo,Germany,810510,115.795,3.024
2011,Dem. Rep. Congo,Japan,810510,286.926,7.959
2011,Dem. Rep. Congo,Netherlands,810510,179.19,5.146
2011,Dem. Rep. Congo,South Africa,282200,9.773,6.092
2011,Dem. Rep. Congo,USA,282200,650.874,21.106
2011,Dem. Rep. Congo,USA,810510,974.318,29.976
2011,Dem. Rep. Congo,894,282200,181593.603,0.0
2012,Dem. Rep. Congo,Brazil,282200,12082.876,2875.061
2012,Dem. Rep. Congo,Brazil,810510,3820.629,147.795
2012,Dem. Rep. Congo,China,810510,382891.233,75434.352
2012,Dem. Rep. Congo,Finland,810510,174205.282,53559.374
2012,Dem. Rep. Congo,251,810510,33.348,1.0
2012,Dem. Rep. Congo,Japan,810510,94.997,3.0
2012,Dem. Rep. Congo,Netherlands,810510,912.8,31.234
2012,Dem. Rep. Congo,USA,282200,53.301,1.596
2012,Dem. Rep. Congo,USA,810510,556.947,19.896
2012,Dem. Rep. Congo,894,282200,100000.512,0.0
2013,Dem. Rep. Congo,Brazil,282200,13745.869,2104.637
2013,Dem. Rep. Congo,Brazil,810510,3353.661,155.529
2013,Dem. Rep. Congo,China,810510,484443.519,113735.895
2013,Dem. Rep. Congo,Finland,810510,137947.256,40898.269
2013,Dem. Rep. Congo,Germany,810510,55.458,2.0
2013,Dem. Rep. Congo,Japan,810510,17.88,1.028
2013,Dem. Rep. Congo,Netherlands,810510,772.044,44.532
2013,Dem. Rep. Congo,699,810510,186.803,6.0
2013,Dem. Rep. Congo,USA,282200,2008.959,83.377
2013,Dem. Rep. Congo,894,282200,214158.292,0.0
2014,Dem. Rep. Congo,Brazil,282200,15571.099,2091.707
2014,Dem. Rep. Congo,Brazil,810510,3649.514,152.049
2014,Dem. Rep. Congo,China,810510,507082.128,98697.309
2014,Dem. Rep. Congo,Finland,810510,241055.98,66093.373
2014,Dem. Rep. Congo,251,810510,180.371,7.074
2014,Dem. Rep. Congo,Germany,810510,31.235,1.002
2014,Dem. Rep. Congo,504,282200,4593.326,1626.972
2014,Dem. Rep. Congo,646,810510,0.027,0.1
2014,Dem. Rep. Congo,699,810510,578.558,18.097
2014,Dem. Rep. Congo,USA,282200,4319.87,166.221
2014,Dem. Rep. Congo,894,282200,30079.41,0.0
2015,Dem. Rep. Congo,4,282200,330.956,35.57
2015,Dem. Rep. Congo,Brazil,282200,6416.407,1262.336
2015,Dem. Rep. Congo,Brazil,810510,2938.389,122.771
2015,Dem. Rep. Congo,China,282200,8911.26,524.3
2015,Dem. Rep. Congo,China,810510,730622.233,151021.148
2015,Dem. Rep. Congo,251,810510,1.525,0.05
2015,Dem. Rep. Congo,South Korea,810510,2179.212,78.1
2015,Dem. Rep. Congo,504,282200,5966.683,1752.256
2015,Dem. Rep. Congo,579,282200,1991.48,372.579
2015,Dem. Rep. Congo,646,810510,0.014,0.04
2015,Dem. Rep. Congo,699,810510,3771.401,160.585
2015,Dem. Rep. Congo,South Africa,282200,0.049,0.05
2015,Dem. Rep. Congo,784,282200,118104.895,15867.55
2015,Dem. Rep. Congo,834,282200,229007.176,29336.38
2015,Dem. Rep. Congo,USA,282200,0.01,0.014
2015,Dem. Rep. Congo,894,282200,56223.702,772.071
2016,Dem. Rep. Congo,Brazil,810510,709.287,97.024
2016,Dem. Rep. Congo,China,282200,201308.127,39408.515
2016,Dem. Rep. Congo,China,810510,755395.21,26052.273
2016,Dem. Rep. Congo,203,810510,95.328,4.005
2016,Dem. Rep. Congo,Germany,810510,125.532,5.249
2016,Dem. Rep. Congo,South Korea,810510,1812.801,76.763
2016,Dem. Rep. Congo,504,282200,5784.867,1351.702
2016,Dem. Rep. Congo,548,282200,185.382,33.8
2016,Dem. Rep. Congo,699,810510,2281.669,109.922
2016,Dem. Rep. Congo,South Africa,282200,319.599,32.641
2016,Dem. Rep. Congo,784,282200,44675.046,8128.5
2016,Dem. Rep. Congo,834,282200,41898.649,7157.375
2016,Dem. Rep. Congo,894,282200,62054.563,3209.112
2017,Dem. Rep. Congo,Brazil,282200,1640.8,130.782
2017,Dem. Rep. Congo,Brazil,810510,1399.082,70.2
2017,Dem. Rep. Congo,China,282200,676418.384,57974.162
2017,Dem. Rep. Congo,China,810510,1888951.36,214670.508
2017,Dem. Rep. Congo,203,810510,78.609,1.996
2017,Dem. Rep. Congo,Germany,810510,55.752,1.02
2017,Dem. Rep. Congo,South Korea,282200,6114.032,457.559
2017,Dem. Rep. Congo,South Korea,810510,2701.478,67.389
2017,Dem. Rep. Congo,504,282200,14282.571,936.259
2017,Dem. Rep. Congo,699,810510,3455.433,91.02
2017,Dem. Rep. Congo,South Africa,282200,1307.563,230.067
