year,exporter,importer,product,value_kusd,quantity_tonnes
1995,Argentina,Germany,250410,365.0,308.375
1995,Argentina,600,250410,1.225,2.187
1995,Australia,China,250410,1.695,0.234
1995,Australia,Indonesia,250410,14.497,41.46
1995,Australia,Malaysia,250410,16.239,2.777
1995,Australia,554,250410,1.175,0.179
1995,Australia,702,250410,2.032,1.0
1995,Australia,USA,250410,3.281,0.699
1995,040,Argentina,250410,39.965,72.535
1995,040,058,250410,0.687,0.359
1995,040,Brazil,250410,1.34,0.148
1995,040,Croatia,250410,13.119,16.869
1995,040,Czech Republic,250410,82.177,209.712
1995,040,251,250410,226.458,408.972
1995,040,Germany,250410,605.547,476.573
1995,040,300,250410,50.396,34.075
1995,040,Hungary,250410,19.741,20.3
1995,040,Italy,250410,478.743,1224.974
1995,040,384,250410,0.761,0.273
1995,040,Mexico,250410,9.0,0.476
1995,040,Netherlands,250410,53.982,158.974
1995,040,Poland,250410,271.683,595.633
1995,040,705,250410,23.513,25.646
1995,040,Spain,250410,167.946,448.778
1995,040,Sweden,250410,8.201,6.0
1995,040,757,250410,4.698,3.069
1995,040,Turkey,250410,31.646,16.5
1995,040,USA,250410,28.372,20.532
1995,058,Chile,250410,0.856,1.5
1995,058,251,250410,9.26,1.267
1995,058,Hungary,250410,3.0,0.097
1995,058,372,250410,23.455,3.625
1995,058,South Korea,250410,1.0,2.5
1995,058,Mexico,250410,47.0,18.82
1995,058,Morocco,250410,3.158,5.0
1995,058,Netherlands,250410,0.992,0.031
1995,058,702,250410,6.792,2.0
1995,058,711,250410,34.101,47.517
1995,058,Spain,250410,52.708,10.969
1995,058,757,250410,0.571,1.125
1995,058,826,250410,3.932,2.625
1995,058,USA,250410,2.468,2.0
1995,Brazil,Argentina,250410,59.415,64.136
1995,Brazil,040,250410,302.575,523.0
1995,Brazil,058,250410,980.672,594.572
1995,Brazil,068,250410,2.471,6.129
1995,Brazil,Chile,250410,78.729,101.629
1995,Brazil,Colombia,250410,1.248,0.636
1995,Brazil,Ecuador,250410,14.218,16.763
1995,Brazil,251,250410,506.488,197.761
1995,Brazil,Germany,250410,2327.588,2755.694
1995,Brazil,Italy,250410,538.365,1247.636
1995,Brazil,Japan,250410,1098.349,679.554
1995,Brazil,South Korea,250410,1.469,0.832
1995,Brazil,Mexico,250410,2.0,0.75
