year,exporter,importer,product,value_kusd,quantity_tonnes
1995,Argentina,600,283691,3.979,0.199
1995,Australia,554,283691,1.19,0.125
1995,Australia,699,283691,25.853,8.0
1995,058,251,283691,99.12,9.651
1995,058,Netherlands,283691,24.842,11.0
1995,058,826,283691,74.849,43.601
1995,Brazil,Spain,283691,3.668,1.0
1995,Canada,579,283691,2.628,0.02
1995,Canada,USA,283691,63.681,17.0
1995,Chile,Argentina,283691,26.581,5.0
1995,Chile,Brazil,283691,354.796,100.0
1995,Chile,Canada,283691,899.831,277.757
1995,Chile,Ecuador,283691,20.586,3.534
1995,Chile,251,283691,1022.079,227.8
1995,Chile,Germany,283691,9484.095,3233.534
1995,Chile,Japan,283691,5121.664,1532.424
1995,Chile,South Korea,283691,2597.536,854.787
1995,Chile,Netherlands,283691,507.905,127.605
1995,Chile,USA,283691,17693.736,6258.688
1995,Chile,Venezuela,283691,781.322,412.592
1995,China,Argentina,283691,19.169,5.0
1995,China,Australia,283691,125.848,40.037
1995,China,Bangladesh,283691,14.198,0.0
1995,China,058,283691,342.459,33.076
1995,China,Canada,283691,67.751,21.157
1995,China,Czech Republic,283691,78.608,21.199
1995,China,233,283691,60.5,17.5
1995,China,251,283691,611.027,170.954
1995,China,Germany,283691,1478.82,439.475
1995,China,344,283691,441.23,137.345
1995,China,Indonesia,283691,41.527,10.068
1995,China,Israel,283691,328.767,267.0
1995,China,Italy,283691,1894.249,528.552
1995,China,Japan,283691,2395.634,692.967
1995,China,North Korea,283691,17.123,5.0
1995,China,South Korea,283691,799.305,137.367
1995,China,Malaysia,283691,2.5,0.0
1995,China,Netherlands,283691,1906.702,590.176
1995,China,699,283691,202.256,57.836
1995,China,711,283691,223.297,65.876
1995,China,Spain,283691,60.098,15.427
1995,China,Sweden,283691,191.069,53.48
1995,China,Thailand,283691,1.908,0.212
1995,China,Turkey,283691,17.826,4.0
1995,China,826,283691,60.0,20.0
1995,China,USA,283691,262.508,72.989
1995,Czech Republic,Germany,283691,198.056,57.768
1995,Czech Republic,Poland,283691,32.521,7.875
1995,Czech Republic,Russia,283691,135.066,38.851
1995,Denmark,Germany,283691,1.314,0.269
1995,Finland,Czech Republic,283691,12.074,1.937
1995,Finland,233,283691,0.571,0.097
1995,Finland,251,283691,37.684,5.125
1995,251,058,283691,31.701,172.782
1995,251,Canada,283691,4.813,0.597
1995,251,Colombia,283691,15.654,0.425
1995,251,204,283691,2.607,0.296
1995,251,Germany,283691,16.491,55.427
1995,251,Italy,283691,1.002,0.01
1995,251,Kazakhstan,283691,2.406,0.01
1995,251,Morocco,283691,3.67,0.457
1995,251,Netherlands,283691,24.27,5.0
1995,251,Portugal,283691,4.127,1.0
1995,251,Spain,283691,16.046,11.75
1995,251,826,283691,155.45,66.0
1995,251,Uruguay,283691,3.001,0.096
1995,Germany,Argentina,283691,30.462,5.0
1995,Germany,Australia,283691,0.641,0.01
1995,Germany,040,283691,237.653,38.626
1995,Germany,058,283691,539.968,120.335
1995,Germany,Brazil,283691,1.728,0.023
1995,Germany,Bulgaria,283691,1.0,0.199
1995,Germany,Colombia,283691,63.534,2.445
1995,Germany,Costa Rica,283691,1.0,0.105
1995,Germany,Croatia,283691,24.497,5.054
1995,Germany,Czech Republic,283691,174.689,41.849
1995,Germany,Denmark,283691,367.059,58.504
1995,Germany,222,283691,1.878,0.033
1995,Germany,Finland,283691,116.54,21.98
1995,Germany,251,283691,2931.466,526.2
1995,Germany,300,283691,16.371,0.613
1995,Germany,Guatemala,283691,1.478,0.1
1995,Germany,340,283691,2.149,0.105
1995,Germany,Hungary,283691,26.047,2.662
1995,Germany,352,283691,1.093,0.199
1995,Germany,Indonesia,283691,2.0,0.414
1995,Germany,Iran,283691,11.0,0.199
1995,Germany,Israel,283691,111.086,3.375
1995,Germany,Italy,283691,1894.111,493.747
1995,Germany,Japan,283691,449.435,19.726
1995,Germany,400,283691,1.0,0.199
1995,Germany,South Korea,283691,2.381,0.257
1995,Germany,Malaysia,283691,7.0,0.5
1995,Germany,Mexico,283691,2.0,0.199
1995,Germany,490,283691,2.0,0.296
1995,Germany,Netherlands,283691,513.081,160.925
1995,Germany,579,283691,24.566,4.814
1995,Germany,Pakistan,283691,5.0,0.597
1995,Germany,Peru,283691,3.056,0.126
1995,Germany,Poland,283691,76.0,14.5
1995,Germany,Portugal,283691,3.684,0.208
1995,Germany,Romania,283691,2.395,0.597
1995,Germany,699,283691,37.861,7.242
1995,Germany,703,283691,35.634,3.686
1995,Germany,705,283691,8.028,0.401
1995,Germany,Spain,283691,873.99,215.17
1995,Germany,Sweden,283691,6.647,1.731
1995,Germany,757,283691,81.938,11.54
1995,Germany,760,283691,8.0,1.125
1995,Germany,Turkey,283691,41.003,6.842
1995,Germany,826,283691,1446.394,295.01
1995,Germany,USA,283691,15.393,1.095
1995,Germany,Uruguay,283691,5.984,0.278
1995,344,Indonesia,283691,24.126,6.0
1995,344,Israel,283691,200.0,0.0
1995,344,490,283691,36.324,10.0
1995,344,Netherlands,283691,65.741,18.0
1995,344,699,283691,2.463,1.0
1995,344,711,283691,198.702,55.92
1995,344,USA,283691,126.88,34.0
1995,Italy,040,283691,18.378,3.912
1995,Italy,251,283691,90.789,21.002
1995,Italy,300,283691,0.778,0.196
1995,Italy,Israel,283691,59.0,0.0
1995,Italy,Romania,283691,1.0,0.0
1995,Italy,705,283691,1.333,0.097
1995,Italy,Sweden,283691,6.187,1.0
1995,Italy,Thailand,283691,4.256,0.199
1995,Italy,Tunisia,283691,200.028,177.105
1995,Italy,Turkey,283691,3.678,0.693
1995,Italy,Uruguay,283691,2.0,0.05
1995,Italy,Venezuela,283691,3.687,0.597
1995,Japan,Sri Lanka,283691,11.518,0.044
1995,Japan,China,283691,12.638,1.125
1995,Japan,Denmark,283691,4.617,0.023
1995,Japan,Indonesia,283691,16.21,15.562
1995,Japan,Israel,283691,699.127,32.0
1995,Japan,South Korea,283691,17.196,1.954
1995,Japan,Malaysia,283691,23.503,16.0
1995,Japan,490,283691,32.582,7.25
1995,Japan,Netherlands,283691,0.505,0.01
1995,Japan,554,283691,75.378,17.926
1995,Japan,Thailand,283691,25.939,2.569
1995,Japan,USA,283691,2.908,0.199
1995,Kazakhstan,Germany,283691,142.0,42.601
1995,South Korea,Bangladesh,283691,21.081,0.0
1995,490,344,283691,1.551,1.0
1995,490,Malaysia,283691,4.59,10.0
1995,490,699,283691,59.306,12.687
1995,498,Saudi Arabia,283691,25.679,42.0
1995,512,UAE,283691,7.23,20.0
1995,Netherlands,Argentina,283691,10.308,3.0
1995,Netherlands,Australia,283691,24.839,1.75
1995,Netherlands,040,283691,14.768,3.812
1995,Netherlands,058,283691,421.967,97.189
1995,Netherlands,Colombia,283691,2.493,0.148
1995,Netherlands,Czech Republic,283691,10.487,2.616
1995,Netherlands,Denmark,283691,2.021,0.25
1995,Netherlands,251,283691,287.657,78.001
1995,Netherlands,Germany,283691,238.4,28.363
1995,Netherlands,Hungary,283691,57.439,12.078
1995,Netherlands,352,283691,0.977,0.199
1995,Netherlands,Indonesia,283691,9.387,0.597
1995,Netherlands,Italy,283691,945.337,227.293
1995,Netherlands,Poland,283691,22.995,1.187
1995,Netherlands,Portugal,283691,3.477,0.996
1995,Netherlands,Romania,283691,32.641,10.062
1995,Netherlands,705,283691,15.91,3.429
1995,Netherlands,711,283691,34.644,5.125
1995,Netherlands,Spain,283691,231.574,63.356
1995,Netherlands,Sweden,283691,128.018,29.941
1995,Netherlands,Turkey,283691,123.816,29.377
1995,Netherlands,Egypt,283691,39.359,10.133
1995,Netherlands,826,283691,295.981,68.96
1995,Russia,Czech Republic,283691,135.102,38.851
1995,Russia,Germany,283691,821.0,241.898
1995,Russia,Italy,283691,42.397,10.0
1995,Russia,Japan,283691,461.314,128.8
1995,Russia,Thailand,283691,5.768,0.656
1995,Saudi Arabia,414,283691,1.281,0.796
1995,699,512,283691,108.5,918.812
1995,702,251,283691,0.978,0.008
1995,702,Malaysia,283691,0.728,0.066
1995,702,554,283691,4.447,0.199
1995,702,699,283691,16.258,4.5
1995,702,Thailand,283691,18.585,1.125
1995,705,Argentina,283691,1.414,0.097
1995,705,Australia,283691,79.457,5.122
1995,705,040,283691,1.925,0.097
1995,705,Croatia,283691,14.006,0.0
1995,705,251,283691,228.984,15.755
1995,705,Germany,283691,3.257,0.187
1995,705,Iran,283691,35.488,2.0
1995,705,Japan,283691,19.833,1.0
1995,705,South Korea,283691,37.629,2.375
1995,705,Mexico,283691,16.626,1.015
1995,705,490,283691,15.155,1.0
1995,705,Netherlands,283691,33.797,2.361
1995,705,554,283691,5.393,0.199
1995,705,699,283691,17.111,1.765
1995,705,702,283691,21.952,0.699
1995,705,757,283691,18.73,1.083
1995,705,Turkey,283691,167.139,4.0
1995,711,894,283691,83.195,207.398
1995,Spain,Italy,283691,14.984,4.0
1995,Spain,Portugal,283691,0.754,0.208
1995,Spain,Turkey,283691,27.349,5.939
