year,reporter,reporter_code,partner,partner_code,flow,commodity_code,trade_value_usd,quantity_kg
2023,USA,842,China,156,import,2504,113270155.0,29148009.0
2020,USA,842,Mexico,484,import,2504,3729241.0,5814023.0
2021,USA,842,Mexico,484,import,2504,5225434.0,7744973.0
2022,USA,842,Mexico,484,import,2504,7586547.0,12165182.0
2020,USA,842,Brazil,76,import,2504,5748351.0,2772020.0
2021,USA,842,Brazil,76,import,2504,6645318.0,3152056.0
2022,USA,842,Brazil,76,import,2504,5266773.0,2332701.0
2023,USA,842,Brazil,76,import,2504,5177901.0,2604766.0
2020,USA,842,Canada,124,import,2504,8779050.0,5751366.0
2021,USA,842,Canada,124,import,2504,14776644.0,10100448.0
2022,USA,842,Canada,124,import,2504,13646317.0,8399153.0
2023,USA,842,Canada,124,import,2504,11180467.0,7252159.764
2020,USA,842,Japan,392,import,2504,512134.0,97135.0
2021,USA,842,Japan,392,import,2504,705434.0,112123.0
2022,USA,842,Japan,392,import,2504,958209.0,142616.0
2023,USA,842,Japan,392,import,2504,982171.0,86580.0
2021,USA,842,South Korea,410,import,2504,19675.0,3001.0
2022,USA,842,South Korea,410,import,2504,414266.0,60504.0
2023,USA,842,South Korea,410,import,2504,1205586.0,268150.0
2020,USA,842,Mozambique,508,import,2504,3358142.0,5480880.0
2021,USA,842,Mozambique,508,import,2504,1214529.0,1068066.0
2022,USA,842,Mozambique,508,import,2504,7375893.0,8416057.0
2023,USA,842,Mozambique,508,import,2504,16735766.0,18907147.0
2020,USA,842,Germany,276,import,2504,1263161.0,72393.0
2021,USA,842,Germany,276,import,2504,1038905.0,232596.0
2022,USA,842,Germany,276,import,2504,1072672.0,167313.0
2023,USA,842,Germany,276,import,2504,316166.0,90457.0
2020,USA,842,United Kingdom,826,import,2504,813630.0,1562881.0
2021,USA,842,United Kingdom,826,import,2504,217918.0,176706.0
2022,USA,842,United Kingdom,826,import,2504,356471.0,44414.0
2023,USA,842,United Kingdom,826,import,2504,85475.0,28052.702
2020,USA,842,Singapore,702,import,2504,25335.0,7225.413
2023,USA,842,Australia,36,import,2504,2754.0,67.0
2020,China,156,USA,842,import,2504,734992.0,135684.231
2021,China,156,USA,842,import,2504,749759.0,116559.567
2022,China,156,USA,842,import,2504,718369.0,66287.931
2023,China,156,USA,842,import,2504,685611.0,136364.678
2020,China,156,Mexico,484,import,2504,2489.0,1814.0
2021,China,156,Mexico,484,import,2504,17242.0,12698.0
2022,China,156,Mexico,484,import,2504,9285.0,6349.0
2023,China,156,Mexico,484,import,2504,11529.0,6349.0
2020,China,156,Brazil,76,import,2504,487884.0,61473.0
2021,China,156,Brazil,76,import,2504,359858.0,49060.0
2022,China,156,Brazil,76,import,2504,172800.0,26792.0
2023,China,156,Brazil,76,import,2504,4307.0,800.0
2020,China,156,Canada,124,import,2504,77236.0,23597.0
2021,China,156,Canada,124,import,2504,280057.0,94216.0
2022,China,156,Canada,124,import,2504,81186.0,35085.0
2023,China,156,Canada,124,import,2504,35910.0,13682.0
2020,China,156,Japan,392,import,2504,1791858.0,381525.0
2021,China,156,Japan,392,import,2504,2632809.0,1244452.0
2022,China,156,Japan,392,import,2504,2938722.0,1585441.0
2023,China,156,Japan,392,import,2504,1114385.0,255563.0
2020,China,156,South Korea,410,import,2504,244835.0,391688.0
2021,China,156,South Korea,410,import,2504,113299.0,112112.314
2022,China,156,South Korea,410,import,2504,854579.0,180341.0
2023,China,156,South Korea,410,import,2504,341490.0,102174.395
2020,China,156,Mozambique,508,import,2504,1744509.0,4204699.0
2021,China,156,Mozambique,508,import,2504,9969464.0,23139614.0
2022,China,156,Mozambique,508,import,2504,71270501.0,108432473.0
2023,China,156,Mozambique,508,import,2504,31814760.0,55154710.0
2020,China,156,Germany,276,import,2504,1709307.0,507753.717
2021,China,156,Germany,276,import,2504,1879250.0,516228.687
2022,China,156,Germany,276,import,2504,1623675.0,473283.919
2023,China,156,Germany,276,import,2504,949718.0,256901.559
2020,China,156,United Kingdom,826,import,2504,482548.0,145107.0
2021,China,156,United Kingdom,826,import,2504,726223.0,219867.0
2022,China,156,United Kingdom,826,import,2504,953798.0,281349.0
2023,China,156,United Kingdom,826,import,2504,708205.0,190140.0
2020,China,156,Singapore,702,import,2504,4744.0,1989.122
2021,China,156,Singapore,702,import,2504,4207.0,3870.045
2020,China,156,Australia,36,import,2504,1799.0,512.161
2021,China,156,Australia,36,import,2504,1187.0,62354.879
2022,China,156,Australia,36,import,2504,9601.0,135000.0
2020,Mexico,484,USA,842,import,2504,897737.0,0.0
2020,Mexico,484,USA,842,import,2504,895890.0,0.0
2020,Mexico,484,USA,842,import,2504,1773.0,1372.165
2020,Mexico,484,USA,842,import,2504,74.0,53.528
2021,Mexico,484,USA,842,import,2504,3006023.0,0.0
2021,Mexico,484,USA,842,import,2504,3005590.0,0.0
2021,Mexico,484,USA,842,import,2504,433.0,0.0
2023,Mexico,484,USA,842,import,2504,3162.0,75.0
2023,Mexico,484,USA,842,import,2504,5146239.0,3098972.0
2023,Mexico,484,USA,842,import,2504,5149401.0,3099047.0
2020,Mexico,484,China,156,import,2504,85461.0,72271.505
2020,Mexico,484,China,156,import,2504,578880.0,487693.773
2020,Mexico,484,China,156,import,2504,523.0,442.284
2020,Mexico,484,China,156,import,2504,664864.0,560407.562
2021,Mexico,484,China,156,import,2504,247679.0,0.0
2021,Mexico,484,China,156,import,2504,106.0,0.0
2021,Mexico,484,China,156,import,2504,106272.0,0.0
