year,reporter,reporter_code,partner,partner_code,flow,commodity_code,trade_value_usd,quantity_kg
1996,USA,842,,0,import,2504,31581643.0,53389937.0
1997,USA,842,,0,import,2504,35762560.0,58080968.0
1998,USA,842,,0,import,2504,38064342.0,61608350.0
1999,USA,842,,0,import,2504,38088291.0,55790091.0
2000,USA,842,,0,import,2504,32457554.0,
2001,USA,842,,0,import,2504,23494623.0,35850188.0
2002,USA,842,,0,import,2504,24808780.0,
2003,USA,842,,0,import,2504,27246300.0,37723085.0
2004,USA,842,,0,import,2504,32088118.0,37341058.0
2005,USA,842,,0,import,2504,37594265.0,43970733.0
2006,USA,842,,0,import,2504,31369969.0,52600855.0
2007,USA,842,,0,import,2504,40399502.0,58584826.0
2008,USA,842,,0,import,2504,53422791.0,
2009,USA,842,,0,import,2504,31816389.0,33065771.0
2010,USA,842,,0,import,2504,56755830.0,65417725.0
2011,USA,842,,0,import,2504,86833498.0,71792535.0
2012,USA,842,,0,import,2504,72739524.0,56697923.0
2013,USA,842,,0,import,2504,76771709.0,61297426.0
2014,USA,842,,0,import,2504,76009315.0,69609093.0
2015,USA,842,,0,import,2504,61649538.0,46716829.0
2016,USA,842,,0,import,2504,49766371.0,
2017,USA,842,,0,import,2504,61384583.0,51901404.741
2018,USA,842,,0,import,2504,67653412.0,70685565.731
2019,USA,842,,0,import,2504,59715071.0,50209427.957
2020,USA,842,,0,import,2504,47876809.0,37523475.413
2021,USA,842,,0,import,2504,74794845.0,0.0
2022,USA,842,,0,import,2504,195043839.0,89409231.0
2023,USA,842,,0,import,2504,162901778.0,73337944.196
2024,USA,842,,0,import,2504,148836810.0,74092975.81
1996,China,156,,0,import,2504,900027.0,367521.0
1997,China,156,,0,import,2504,1572221.0,801445.0
1998,China,156,,0,import,2504,2107300.0,1556355.0
1999,China,156,,0,import,2504,2936883.0,1238871.0
2000,China,156,,0,import,2504,2836090.0,733690.0
2001,China,156,,0,import,2504,2362212.0,2842859.0
2002,China,156,,0,import,2504,4010793.0,740544.0
2003,China,156,,0,import,2504,5549986.0,1605054.0
2004,China,156,,0,import,2504,6348937.0,4610340.0
