year,reporter,reporter_code,partner,partner_code,flow,commodity_code,trade_value_usd,quantity_kg
2014,USA,842,Argentina,32,import,2504,22158.0,11000.0
2021,USA,842,Argentina,32,import,2504,5950.0,257.0
1995,USA,842,Brazil,76,import,2504,4338042.0,2811437.0
1996,USA,842,Brazil,76,import,2504,3163877.0,1820937.0
1997,USA,842,Brazil,76,import,2504,5391928.0,3097000.0
1998,USA,842,Brazil,76,import,2504,6481065.0,3451448.0
1999,USA,842,Brazil,76,import,2504,10029374.0,4750035.0
2000,USA,842,Brazil,76,import,2504,2904268.0,
2001,USA,842,Brazil,76,import,2504,3773618.0,6233761.0
2002,USA,842,Brazil,76,import,2504,3989916.0,6110132.0
2003,USA,842,Brazil,76,import,2504,4304115.0,6149522.0
2004,USA,842,Brazil,76,import,2504,3645172.0,4518270.0
2005,USA,842,Brazil,76,import,2504,4523370.0,5611916.0
2006,USA,842,Brazil,76,import,2504,4983161.0,3671102.0
2007,USA,842,Brazil,76,import,2504,3755742.0,2814573.0
2008,USA,842,Brazil,76,import,2504,3989706.0,
2009,USA,842,Brazil,76,import,2504,4473267.0,2845160.0
2010,USA,842,Brazil,76,import,2504,6079578.0,3941260.0
2011,USA,842,Brazil,76,import,2504,7577157.0,3938192.0
2012,USA,842,Brazil,76,import,2504,7887396.0,3377399.0
2013,USA,842,Brazil,76,import,2504,10209897.0,4487163.0
2014,USA,842,Brazil,76,import,2504,9011441.0,4271287.0
2015,USA,842,Brazil,76,import,2504,10254000.0,4690131.0
2016,USA,842,Brazil,76,import,2504,7694737.0,4042985.0
2017,USA,842,Brazil,76,import,2504,7969474.0,5053527.0
2018,USA,842,Brazil,76,import,2504,6757731.0,3532330.0
2019,USA,842,Brazil,76,import,2504,5310987.0,2639328.0
2020,USA,842,Brazil,76,import,2504,5748351.0,2772020.0
2021,USA,842,Brazil,76,import,2504,6645318.0,3152056.0
2022,USA,842,Brazil,76,import,2504,5266773.0,2332701.0
2023,USA,842,Brazil,76,import,2504,5177901.0,2604766.0
2024,USA,842,Brazil,76,import,2504,4739607.0,1906436.0
1995,USA,842,China,156,import,2504,7664755.0,16293980.0
1996,USA,842,China,156,import,2504,6043821.0,14619725.0
1997,USA,842,China,156,import,2504,8349255.0,16761187.0
1998,USA,842,China,156,import,2504,10470642.0,20155050.0
1999,USA,842,China,156,import,2504,10478518.0,18645397.0
2000,USA,842,China,156,import,2504,9077328.0,
2001,USA,842,China,156,import,2504,5858013.0,8800089.0
2002,USA,842,China,156,import,2504,7919781.0,
2003,USA,842,China,156,import,2504,8733636.0,12077133.0
2004,USA,842,China,156,import,2504,10507215.0,11561222.0
2005,USA,842,China,156,import,2504,14427744.0,16154070.0
2006,USA,842,China,156,import,2504,8874694.0,21522175.0
2007,USA,842,China,156,import,2504,13952176.0,27960165.0
2008,USA,842,China,156,import,2504,22728558.0,
2009,USA,842,China,156,import,2504,10342593.0,15121420.0
2010,USA,842,China,156,import,2504,28780415.0,39932950.0
2011,USA,842,China,156,import,2504,47494621.0,34543787.0
2012,USA,842,China,156,import,2504,29557183.0,18630182.0
2013,USA,842,China,156,import,2504,31249754.0,20475082.0
2014,USA,842,China,156,import,2504,30826069.0,23862377.0
2015,USA,842,China,156,import,2504,26050298.0,17666273.0
2016,USA,842,China,156,import,2504,18585668.0,13414849.0
2017,USA,842,China,156,import,2504,28878320.0,21437258.0
2018,USA,842,China,156,import,2504,26709718.0,17084597.0
2019,USA,842,China,156,import,2504,24361497.0,17357956.0
2020,USA,842,China,156,import,2504,18376329.0,10467630.0
2021,USA,842,China,156,import,2504,35102277.0,19391854.0
2022,USA,842,China,156,import,2504,144767749.0,44970076.0
2023,USA,842,China,156,import,2504,113270155.0,29148009.0
2024,USA,842,China,156,import,2504,100310060.0,35716785.0
1995,USA,842,"China, Hong Kong SAR",344,import,2504,82755.0,396655.0
1997,USA,842,"China, Hong Kong SAR",344,import,2504,10902.0,53800.0
1998,USA,842,"China, Hong Kong SAR",344,import,2504,17998.0,46523.0
1999,USA,842,"China, Hong Kong SAR",344,import,2504,61006.0,215998.0
2000,USA,842,"China, Hong Kong SAR",344,import,2504,43797.0,
2001,USA,842,"China, Hong Kong SAR",344,import,2504,4577.0,2898.0
2002,USA,842,"China, Hong Kong SAR",344,import,2504,11205.0,
2011,USA,842,"China, Hong Kong SAR",344,import,2504,47990.0,17750.0
2012,USA,842,"China, Hong Kong SAR",344,import,2504,53301.0,18144.0
2013,USA,842,"China, Hong Kong SAR",344,import,2504,1262733.0,585297.0
2016,USA,842,"China, Hong Kong SAR",344,import,2504,182207.0,91398.0
2018,USA,842,"China, Hong Kong SAR",344,import,2504,1138320.0,1400000.0
2020,USA,842,"China, Hong Kong SAR",344,import,2504,295900.0,407494.0
2021,USA,842,"China, Hong Kong SAR",344,import,2504,1780808.0,2519176.0
2022,USA,842,"China, Hong Kong SAR",344,import,2504,751821.0,1161647.0
