typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20020101","2002","52","2002","8","ALB","Albania","X","Export","0","W00","World","0","W00","World","H1","HS","true","750210","Nickel; unwrought, not alloyed","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","23000","false","-1","N/A",,"false","23000","false",,"false",,"260","260","0","false","false",
"C","A","20020101","2002","52","2002","12","DZA","Algeria","M","Import","0","W00","World","0","W00","World","H2","HS","true","750210","Nickel; unwrought, not alloyed","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","13127","false","-1","N/A",,"false","13127","false",,"false","97196",,"97196","0","true","false",
"C","A","20020101","2002","52","2002","32","ARG","Argentina","M","Import","0","W00","World","0","W00","World","H2","HS","true","750210","Nickel; unwrought, not alloyed","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","426303","false","-1","N/A",,"false","426303","false",,"false","3155301",,"3155301","0","true","false",
"C","A","20020101","2002","52","2002","36","AUS","Australia","M","Import","0","W00","World","0","W00","World","H2","HS","true","750210","Nickel; unwrought, not alloyed","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","793617","false","-1","N/A",,"false","793617","false",,"false",,"5410571","5410571","0","true","false",
"C","A","20020101","2002","52","2002","36","AUS","Australia","X","Export","0","W00","World","0","W00","World","H2","HS","true","750210","Nickel; unwrought, not alloyed","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","89397872","false","-1","N/A",,"false","89397872","false",,"false",,"597937223","597937223","0","true","false",
"C","A","20020101","2002","52","2002","40","AUT","Austria","M","Import","0","W00","World","0","W00","World","H2","HS","true","750210","Nickel; unwrought, not alloyed","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","4157700","false","-1","N/A",,"false","4157700","false",,"false","26677960",,"26677960","0","true","false",
"C","A","20020101","2002","52","2002","40","AUT","Austria","X","Export","0","W00","World","0","W00","World","H2","HS","true","750210","Nickel; unwrought, not alloyed","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","239168","true","-1","N/A",,"false","239168","true",,"false",,"1508895","1508895","6","true","false",
"C","A","20020101","2002","52","2002","50","BGD","Bangladesh","M","Import","0","W00","World","0","W00","World","H2","HS","true","750210","Nickel; unwrought, not alloyed","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","67451","false","-1","N/A",,"false","67451","false",,"false","479077",,"479077","0","true","false",
"C","A","20020101","2002","52","2002","56","BEL","Belgium","M","Import","0","W00","World","0","W00","World","H2","HS","true","750210","Nickel; unwrought, not alloyed","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","32088272","false","-1","N/A",,"false","32088272","false",,"false","214485917",,"214485917","0","true","false",
"C","A","20020101","2002","52","2002","56","BEL","Belgium","X","Export","0","W00","World","0","W00","World","H2","HS","true","750210","Nickel; unwrought, not alloyed","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","12398549","false","-1","N/A",,"false","12398549","false",,"false",,"84837779","84837779","0","true","false",
"C","A","20020101","2002","52","2002","68","BOL","Bolivia (Plurinational State of)","M","Import","0","W00","World","0","W00","World","H2","HS","true","750210","Nickel; unwrought, not alloyed","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","118.869","true","-1","N/A","0","false","118.869","true","157","false","820","597","820","6","false","true",
"C","A","20020101","2002","52","2002","72","BWA","Botswana","M","Import","0","W00","World","0","W00","World","H1","HS","true","750210","Nickel; unwrought, not alloyed","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2276","false","-1","N/A",,"false","2276","false",,"false","1719",,"1719","0","false","false",
"C","A","20020101","2002","52","2002","76","BRA","Brazil","M","Import","0","W00","World","0","W00","World","H2","HS","true","750210","Nickel; unwrought, not alloyed","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","11466346.868","true","0","false","77548990","76857590","77548990","4","false","true",
"C","A","20020101","2002","52","2002","76","BRA","Brazil","X","Export","0","W00","World","0","W00","World","H2","HS","true","750210","Nickel; unwrought, not alloyed","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","11231000","false","21","1000 KG","11231","false","11226500","false","0","false",,"72307507","72307507","0","false","true",
"C","A","20020101","2002","52","2002","100","BGR","Bulgaria","M","Import","0","W00","World","0","W00","World","H2","HS","true","750210","Nickel; unwrought, not alloyed","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","70382","false","-1","N/A",,"false","70382","false",,"false","544891",,"544891","0","true","false",
"C","A","20020101","2002","52","2002","100","BGR","Bulgaria","X","Export","0","W00","World","0","W00","World","H2","HS","true","750210","Nickel; unwrought, not alloyed","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2806","false","-1","N/A",,"false","2806","false",,"false",,"18763","18763","0","true","false",
"C","A","20020101","2002","52","2002","112","BLR","Belarus","M","Import","0","W00","World","0","W00","World","H2","HS","true","750210","Nickel; unwrought, not alloyed","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","137329","false","-1","N/A",,"false","137329","false",,"false","1157400",,"1157400","0","true","false",
"C","A","20020101","2002","52","2002","112","BLR","Belarus","X","Export","0","W00","World","0","W00","World","H2","HS","true","750210","Nickel; unwrought, not alloyed","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","15054","false","-1","N/A",,"false","15054","false",,"false",,"109400","109400","0","true","false",
"C","A","20020101","2002","52","2002","12","DZA","Algeria","M","Import","0","W00","World","0","W00","World","H2","HS","true","810520","Cobalt; mattes and other intermediate products of cobalt metallurgy, unwrought cobalt, powders","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","4903","false","-1","N/A",,"false","4903","false",,"false","7683",,"7683","0","true","false",
"C","A","20020101","2002","52","2002","32","ARG","Argentina","M","Import","0","W00","World","0","W00","World","H2","HS","true","810520","Cobalt; mattes and other intermediate products of cobalt metallurgy, unwrought cobalt, powders","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","58146","false","-1","N/A",,"false","58146","false",,"false","1181745",,"1181745","0","true","false",
"C","A","20020101","2002","52","2002","36","AUS","Australia","M","Import","0","W00","World","0","W00","World","H2","HS","true","810520","Cobalt; mattes and other intermediate products of cobalt metallurgy, unwrought cobalt, powders","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","22206","false","-1","N/A",,"false","22206","false",,"false",,"643356","643356","0","true","false",
"C","A","20020101","2002","52","2002","36","AUS","Australia","X","Export","0","W00","World","0","W00","World","H2","HS","true","810520","Cobalt; mattes and other intermediate products of cobalt metallurgy, unwrought cobalt, powders","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","4382892","false","-1","N/A",,"false","4382892","false",,"false",,"38820031","38820031","0","true","false",
"C","A","20020101","2002","52","2002","40","AUT","Austria","M","Import","0","W00","World","0","W00","World","H2","HS","true","810520","Cobalt; mattes and other intermediate products of cobalt metallurgy, unwrought cobalt, powders","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","311386","true","-1","N/A",,"false","311386","true",,"false","7056471",,"7056471","6","true","false",
"C","A","20020101","2002","52","2002","40","AUT","Austria","X","Export","0","W00","World","0","W00","World","H2","HS","true","810520","Cobalt; mattes and other intermediate products of cobalt metallurgy, unwrought cobalt, powders","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","42755","true","-1","N/A",,"false","42755","true",,"false",,"872141","872141","6","true","false",
"C","A","20020101","2002","52","2002","50","BGD","Bangladesh","M","Import","0","W00","World","0","W00","World","H2","HS","true","810520","Cobalt; mattes and other intermediate products of cobalt metallurgy, unwrought cobalt, powders","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","100","false","-1","N/A",,"false","100","false",,"false","922",,"922","0","true","false",
"C","A","20020101","2002","52","2002","68","BOL","Bolivia (Plurinational State of)","M","Import","0","W00","World","0","W00","World","H2","HS","true","810520","Cobalt; mattes and other intermediate products of cobalt metallurgy, unwrought cobalt, powders","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","32.832","true","-1","N/A","0","false","32.832","true","6","false","539","520","539","6","false","true",
